Location,Nation_ID,State_ID,Region_ID,Division_ID,Total Female Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native ,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools
United States,US_National,,,,"16,025",198,1.2,236,1.5,"4,322",27,"5,689",35.5,"5,186",32.4,54,0.3,340,2.1,"1,686",10.5,367,2.3,"1,188",7.4,"29,743"
Alabama,,1,3,6,426,DS,0.5,DS,0.5,9,2.1,214,50.2,197,46.2,0,0,DS,0.5,28,6.6,DS,0.5,4,0.9,507
Alaska,,2,4,9,15,11,73.3,0,0,0,0,0,0,DS,13.3,0,0,DS,13.3,0,0,DS,13.3,4,26.7,290
Arizona,,4,4,8,319,27,8.5,8,2.5,115,36.1,16,5,151,47.3,0,0,DS,0.6,22,6.9,DS,0.6,6,1.9,776
Arkansas,,5,3,7,"1,088",5,0.5,10,0.9,85,7.8,750,68.9,229,21,0,0,9,0.8,62,5.7,12,1.1,65,6,309
California,,6,4,9,415,DS,0.5,14,3.4,257,61.9,91,21.9,45,10.8,4,1,DS,0.5,38,9.2,DS,0.5,112,27,"2,991"
Colorado,,8,4,8,67,0,0,DS,3,23,34.3,4,6,36,53.7,0,0,DS,3,9,13.4,DS,3,6,9,557
Connecticut,,9,1,1,60,0,0,DS,3.3,19,31.7,24,40,15,25,0,0,0,0,10,16.7,DS,3.3,7,11.7,321
Delaware,,10,3,5,55,0,0,0,0,DS,3.6,24,43.6,27,49.1,0,0,DS,3.6,11,20,DS,3.6,DS,3.6,79
District of Columbia,,11,3,5,20,0,0,0,0,DS,10,18,90,0,0,0,0,0,0,DS,10,0,0,0,0,73
Florida,,12,3,5,"1,305",6,0.5,5,0.4,312,23.9,500,38.3,446,34.2,DS,0.2,34,2.6,155,11.9,78,6,94,7.2,"1,356"
Georgia,,13,3,5,921,DS,0.2,16,1.7,219,23.8,466,50.6,196,21.3,0,0,22,2.4,110,11.9,8,0.9,96,10.4,655
Hawaii,,15,4,9,48,DS,4.2,4,8.3,DS,4.2,DS,4.2,4,8.3,32,66.7,DS,4.2,6,12.5,0,0,8,16.7,84
Idaho,,16,4,8,36,DS,5.6,0,0,8,22.2,0,0,24,66.7,0,0,DS,5.6,DS,5.6,DS,5.6,4,11.1,221
Illinois,,17,2,3,319,0,0,DS,0.6,48,15,121,37.9,135,42.3,0,0,13,4.1,18,5.6,0,0,20,6.3,"1,580"
Indiana,,18,2,3,170,DS,1.2,0,0,6,3.5,48,28.2,96,56.5,0,0,18,10.6,17,10,0,0,DS,1.2,514
Iowa,,19,2,4,35,DS,5.7,0,0,DS,5.7,0,0,29,82.9,0,0,DS,5.7,4,11.4,0,0,DS,5.7,399
Kansas,,20,2,4,15,0,0,0,0,6,40,DS,13.3,7,46.7,0,0,0,0,DS,13.3,DS,13.3,4,26.7,421
Kentucky,,21,3,6,83,0,0,0,0,DS,2.4,17,20.5,60,72.3,0,0,4,4.8,10,12,DS,2.4,DS,2.4,441
Louisiana,,22,3,7,615,DS,0.3,0,0,26,4.2,370,60.2,215,35,0,0,DS,0.3,62,10.1,42,6.8,9,1.5,520
Maine,,23,1,1,13,DS,15.4,0,0,0,0,0,0,11,84.6,0,0,0,0,4,30.8,DS,15.4,0,0,206
Maryland,,24,3,5,257,DS,0.8,DS,0.8,13,5.1,188,73.2,43,16.7,DS,0.8,7,2.7,54,21,6,2.3,6,2.3,392
Massachusetts,,24,1,1,246,DS,0.8,10,4.1,89,36.2,64,26,72,29.3,0,0,9,3.7,61,24.8,7,2.8,34,13.8,489
Michigan,,26,2,3,385,10,2.6,DS,0.5,12,3.1,185,48.1,165,42.9,0,0,11,2.9,31,8.1,DS,0.5,7,1.8,"1,058"
Minnesota,,27,2,4,85,11,12.9,DS,2.4,9,10.6,13,15.3,44,51.8,DS,2.4,4,4.7,18,21.2,0,0,8,9.4,707
Mississippi,,28,3,6,528,DS,0.4,DS,0.4,10,1.9,294,55.7,218,41.3,0,0,DS,0.4,17,3.2,DS,0.4,DS,0.4,320
Missouri,,29,2,4,125,DS,1.6,0,0,18,14.4,63,50.4,40,32,0,0,DS,1.6,5,4,0,0,DS,1.6,765
Montana,,30,4,8,9,7,77.8,0,0,0,0,0,0,DS,22.2,0,0,0,0,DS,22.2,0,0,DS,22.2,315
Nebraska,,31,2,4,30,0,0,0,0,DS,6.7,0,0,28,93.3,0,0,0,0,DS,6.7,0,0,0,0,333
Nevada,,32,4,8,167,5,3,DS,1.2,75,44.9,38,22.8,37,22.2,DS,1.2,8,4.8,10,6,DS,1.2,25,15,166
New Hampshire,,33,1,1,24,0,0,0,0,DS,8.3,0,0,22,91.7,0,0,0,0,DS,8.3,DS,8.3,DS,8.3,143
New Jersey,,34,1,2,379,0,0,DS,0.5,149,39.3,137,36.1,87,23,0,0,4,1.1,11,2.9,12,3.2,26,6.9,774
New Mexico,,35,4,8,50,17,34,0,0,21,42,DS,4,8,16,0,0,DS,4,4,8,0,0,8,16,225
New York,,36,1,2,"1,190",15,1.3,20,1.7,391,32.9,540,45.4,210,17.6,DS,0.2,12,1,154,12.9,16,1.3,152,12.8,"1,525"
North Carolina,,37,3,5,485,4,0.8,13,2.7,55,11.3,211,43.5,183,37.7,0,0,19,3.9,39,8,20,4.1,30,6.2,713
North Dakota,,38,2,4,35,14,40,0,0,0,0,DS,5.7,19,54.3,0,0,0,0,0,0,0,0,0,0,188
Ohio,,39,2,3,327,DS,0.6,DS,0.6,10,3.1,143,43.7,152,46.5,0,0,18,5.5,38,11.6,DS,0.6,DS,0.6,"1,141"
Oklahoma,,40,3,7,87,18,20.7,DS,2.3,14,16.1,5,5.7,42,48.3,0,0,6,6.9,8,9.2,0,0,5,5.7,589
Oregon,,41,4,9,47,DS,4.3,0,0,8,17,0,0,35,74.5,0,0,DS,4.3,10,21.3,DS,4.3,0,0,457
Pennsylvania,,42,1,2,409,0,0,4,1,45,11,129,31.5,214,52.3,0,0,17,4.2,55,13.4,DS,0.5,7,1.7,965
Rhode Island,,44,1,1,43,DS,4.7,0,0,14,32.6,7,16.3,18,41.9,0,0,DS,4.7,8,18.6,0,0,4,9.3,59
South Carolina,,45,3,5,356,DS,0.6,4,1.1,18,5.1,167,46.9,149,41.9,0,0,16,4.5,28,7.9,DS,0.6,12,3.4,334
South Dakota,,46,2,4,4,0,0,0,0,DS,50,0,0,DS,50,0,0,0,0,DS,50,0,0,0,0,262
Tennessee,,47,3,6,366,0,0,0,0,18,4.9,218,59.6,122,33.3,0,0,8,2.2,40,10.9,5,1.4,5,1.4,605
Texas,,48,3,7,"3,658",12,0.3,93,2.5,"2,119",57.9,394,10.8,968,26.5,7,0.2,65,1.8,398,10.9,113,3.1,359,9.8,"2,414"
Utah,,49,4,8,124,4,3.2,4,3.2,18,14.5,DS,1.6,94,75.8,DS,1.6,0,0,31,25,0,0,DS,1.6,260
Vermont,,50,1,1,DS,0,0,0,0,0,0,0,0,DS,100,0,0,0,0,0,0,0,0,0,0,120
Virginia,,51,3,5,355,DS,0.6,DS,0.6,42,11.8,174,49,124,34.9,DS,0.6,9,2.5,62,17.5,10,2.8,33,9.3,477
Washington,,53,4,9,54,DS,3.7,DS,3.7,15,27.8,DS,3.7,31,57.4,0,0,DS,3.7,10,18.5,4,7.4,DS,3.7,650
West Virginia,,54,3,5,99,0,0,0,0,DS,2,4,4,93,93.9,0,0,0,0,4,4,0,0,DS,2,207
Wisconsin,,55,2,3,86,DS,2.3,4,4.7,7,8.1,39,45.3,32,37.2,0,0,DS,2.3,13,15.1,0,0,5,5.8,693
Wyoming,,56,4,8,6,0,0,0,0,DS,33.3,0,0,4,66.7,0,0,0,0,DS,33.3,0,0,DS,33.3,97
